Price,Open,High,Low,Close,Volume,EMA_100,MACD_Hist,Donchian_Lower_10
2020-09-30,10.0,11.40999984741211,9.109999656677246,9.5,338584400,9.5,0.0,
2020-10-01,9.6899995803833,10.100000381469728,9.229999542236328,9.460000038146973,124297600,9.499207921547464,-0.002552704118255633,
2020-10-02,9.0600004196167,9.279999732971191,8.9399995803833,9.199999809265137,55018300,9.493283008432961,-0.020605661707711533,
2020-10-05,9.43000030517578,9.489999771118164,8.920000076293945,9.029999732971191,36316900,9.484109082186194,-0.041636948062646464,
2020-10-06,9.039999961853027,10.18000030517578,8.899999618530273,9.899999618530272,90864000,9.492344538351423,0.003032768558156226,
2020-10-07,10.039999961853027,10.489999771118164,9.989999771118164,10.0,54672400,9.502397121750406,0.03739445886098404,
2020-10-08,10.289999961853027,10.399999618530272,9.989999771118164,10.0,34989200,9.512250644091981,0.057026961119545846,
2020-10-09,10.130000114440918,10.1899995803833,9.890000343322754,9.949999809265137,19653500,9.52091894439244,0.06307745411129319,
2020-10-12,10.039999961853027,10.050000190734863,9.65999984741211,9.890000343322754,20623600,9.528227486945516,0.05951593332046122,
2020-10-13,9.880000114440918,9.880000114440918,9.40999984741211,9.470000267028809,21847200,9.52707447268974,0.027006442534908436,
2020-10-14,9.600000381469728,9.65999984741211,9.289999961853027,9.34000015258789,13652600,9.523370030707527,-0.0034973068743070074,
2020-10-15,9.270000457763672,9.90999984741211,9.18000030517578,9.90999984741211,12924100,9.531026066681875,0.013535484072499791,
2020-10-16,9.9399995803833,9.949999809265137,9.65999984741211,9.710000038146973,11142500,9.534570105720787,0.010299950933957781,
2020-10-19,9.789999961853027,9.81999969482422,9.529999732971191,9.56999969482422,9126400,9.535271681742637,-0.001664213009895367,
2020-10-20,9.600000381469728,9.65999984741211,9.270000457763672,9.270000457763672,11138200,9.530018786218301,-0.028679094930729912,
2020-10-21,9.300000190734863,9.479999542236328,9.199999809265137,9.199999809265137,9190000,9.523483756971704,-0.04896797248649107,
2020-10-22,9.369999885559082,9.75,9.220000267028809,9.68000030517578,17928600,9.526583094559903,-0.028766148275593983,
2020-10-23,9.710000038146973,9.829999923706056,9.470000267028809,9.489999771118164,12618000,9.525858672313532,-0.026936886256958118,
2020-10-26,9.720000267028809,9.970000267028809,9.600000381469728,9.949999809265137,23767300,9.534257506708613,0.004823829388307738,
2020-10-27,10.0,11.039999961853027,9.920000076293944,10.949999809265137,53695900,9.562292007749337,0.08813059264606152,8.899999618530273
2020-10-28,10.65999984741211,10.984999656677246,10.100000381469728,10.850000381469728,30941700,9.587791183466571,0.12897808061626811,8.899999618530273
2020-10-29,10.899999618530272,11.100000381469728,10.5600004196167,10.75,20515700,9.61080521943753,0.14077759659584693,8.899999618530273
2020-10-30,10.609999656677246,10.68000030517578,9.850000381469728,10.130000114440918,19705500,9.6210863064673,0.10024584220266103,8.899999618530273
2020-11-02,10.229999542236328,10.56999969482422,10.229999542236328,10.539999961853027,11677800,9.639282616474937,0.09454229904485661,8.899999618530273
2020-11-03,10.56999969482422,10.9399995803833,10.4399995803833,10.5,21652800,9.65632652505959,0.08203397554264283,9.18000030517578
