Price,Open,High,Low,Close,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-05-05,172.88561836411026,175.78586876142296,172.19644850678958,173.01962280273438,36839200
2020-05-06,174.28310988132503,176.31232417307075,173.85238236161905,174.72340393066406,32139300
2020-05-07,176.2836061355487,176.64733872911614,174.76169544991922,175.73802185058594,28316000
2020-05-08,177.05893085391247,177.07807851947766,175.50830586708815,176.7717742919922,30877800
2020-05-11,175.30730799085808,179.48060853855688,175.02016600795858,178.74359130859375,30892700
2020-05-12,178.80094501818857,179.03065850855452,174.49364180921106,174.69464111328125,32038200
2020-05-13,174.7329594946061,176.16872742043623,168.98030665766586,172.0528564453125,44711500
2020-05-14,169.93751443835154,172.95263636326058,168.1571613205752,172.7994842529297,41873900
2020-05-15,171.3924103645551,179.04983972684337,169.42062464062786,175.3168487548828,46610400
2020-05-18,177.79597008217846,178.22669764043815,176.08262637962895,176.991943359375,35264500
2020-05-19,177.10679867727748,178.60957645886265,175.63274969770194,175.76675415039062,26799100
2020-05-20,177.38886870679679,178.38711523926915,176.5538086361456,178.20474243164062,31261300
2020-05-21,177.95519570600038,179.17420253606224,175.92992286934356,176.06430053710938,29119500
2020-05-22,175.83392486587098,177.05293154116515,175.21001712283223,176.1410675048828,20826900
2020-05-26,178.8574712323503,179.01104991086925,173.82789400244053,174.27902221679688,36073600
2020-05-27,172.9640031638953,174.6821332908131,169.508571208277,174.5093536376953,39517100
2020-05-28,173.48231266569437,176.75537151482436,173.13676803502756,174.1157989501953,33810200
2020-05-29,175.39238675358726,176.87055553063638,173.16555506136842,175.89151000976562,42130400
2020-06-01,175.21000969417707,175.65154461123888,174.17339051615602,175.48837280273438,22622400
2020-06-02,176.85136234882526,177.5712457776536,174.0678189491154,177.48486328125,30794600
2020-06-03,177.39845376013542,178.4734748300103,176.20824139987135,177.91676330566406,27311000
2020-06-04,176.8993890157038,178.37754347524915,174.97969953022914,175.57479858398438,28761800
2020-06-05,175.2867872856692,180.19159296941456,174.70128159029224,179.68287658691406,39893600
2020-06-08,178.47350355740667,180.97869849717333,177.0337366873354,180.79632568359375,33211600
2020-06-09,180.45077420666559,183.04235154531418,179.7404839717792,182.17849731445312,29783900
2020-06-10,183.45511666334082,190.54836819651172,183.33992534348977,188.93582153320312,43872300
2020-06-11,185.37478704113605,187.89916830840505,178.59828670019016,178.79025268554688,52854700
2020-06-12,182.88875513687523,184.02137920431247,177.74398829683446,180.20120239257812,43373600
2020-06-15,177.16810461859515,183.1575397419374,176.6209862078857,181.35302734375,32770200
2020-06-16,185.14441722165304,187.7264014401968,183.77184652630078,185.797119140625,42556700
2020-06-17,187.1984868366461,188.436694543805,185.91229861744995,186.44021606445312,25687800
2020-06-18,186.20982979362395,188.5998478300532,186.20982979362395,188.43667602539062,23061600
2020-06-19,190.61551176367254,191.2873999704439,186.5649668864824,187.3136444091797,44441100
2020-06-22,187.92795146469385,192.69837988397876,187.39044087875726,192.51602172851562,32818900
2020-06-23,193.9749958365343,195.7603074164586,193.34149487196547,193.80223083496094,30917400
2020-06-24,193.50463898033323,195.0883763989473,188.66701495049006,189.89561462402344,36740600
2020-06-25,189.8572588057207,192.55441970306296,187.6208192009114,192.29525756835938,27803900
2020-06-26,191.70975479189462,191.863333440495,187.054517343966,188.4462890625,54675800
2020-06-29,187.91838261622823,190.55795537859805,185.77793316800526,190.47157287597656,26701600
2020-06-30,189.93403700874228,196.19221269128647,189.7996593627015,195.33795166015625,34310300
2020-07-01,194.98282366026174,198.063931147309,193.66784129759267,196.4801788330078,32061200
2020-07-02,197.42082744501693,199.6668749075703,196.76814015656055,197.9775390625,29315800
2020-07-06,200.4443681893504,202.6520139035718,199.734077846807,202.23927307128906,31897600
2020-07-07,201.99928942933178,206.04983473859397,199.63807995851283,199.88763427734375,33600700
2020-07-08,201.63454111797887,204.69643276987244,200.30995102141637,204.28370666503906,33600000
2020-07-09,207.64313383532854,207.69112898292917,202.97828962216613,205.71385192871094,33121700
2020-07-10,205.0420011781126,205.48353614357757,202.60400230969233,205.08999633789062,26177600
2020-07-13,205.86748881242644,207.13449085673892,198.20793214566257,198.7550506591797,38135600
2020-07-14,197.85275604955902,200.46353432165108,193.91738765007852,199.98361206054688,37591800
2020-07-15,201.14504894820973,202.84397813398218,196.79695371623575,199.6860809326172,32179400
2020-07-16,197.15205686543402,197.4400131481872,194.18614083902548,195.7314910888672,29940700
2020-07-17,196.25939500336793,196.80649872151776,193.30307235279196,194.73324584960938,31635300
2020-07-20,196.76812403001048,203.77499186370676,194.85802818757483,203.1031036376953,36884800
2020-07-21,205.08039405818826,205.34914936573205,199.67646444980613,200.3675537109375,37990400
2020-07-22,200.79947901418083,203.7750030084796,200.02200726398468,203.24708557128906,49605700
2020-07-23,198.8701920137259,202.4504080367256,194.03256734424946,194.4069061279297,67457000
2020-07-24,192.37208303191525,194.71410656521857,189.57893129443949,193.2167510986328,39827000
2020-07-27,193.3798871308601,195.7794985613358,192.79438135598141,195.66432189941406,30160900
2020-07-28,195.43397114443204,196.48019830522122,193.63906632307194,193.90782165527344,23251400
2020-07-29,194.3685200993384,196.43218000986818,193.89819100034165,195.86587524414062,19632600
2020-07-30,192.92876727090675,196.2498360771528,191.55619650401667,195.71231079101562,25079600
2020-07-31,196.19226510063734,196.86416815639336,191.0187023769431,196.77777099609375,51044000
2020-08-03,203.02633250734016,208.90057673251002,201.98969858888674,207.84474182128906,78983000
2020-08-04,205.56988754345605,206.1458000815315,201.8648873185333,204.7252197265625,49280100
2020-08-05,206.2705691716204,206.36655947631414,203.0742999994307,204.3892822265625,28806400
2020-08-06,203.81338285693832,207.6815551197409,203.05511212670442,207.66236877441406,32656800
2020-08-07,206.22261074447047,207.03846983746,202.46000715938482,203.94776916503906,27820400
2020-08-10,203.17030099150136,203.3718747980669,198.0639354292782,199.88763427734375,36716500
2020-08-11,198.8413916071683,199.3117060421688,194.98281258770336,195.2131805419922,36446500
2020-08-12,197.04648389132086,201.83611353320936,196.52817427157683,200.78988647460938,28013100
2020-08-13,201.02983978206382,202.86314634098838,199.79163214226165,200.31954956054688,22588900
2020-08-14,200.3771427347529,201.17381546778418,199.17733704875383,200.5115203857422,17958900
2020-08-17,201.18341810043327,202.7095673786257,200.53071620812176,201.8361053466797,20184800
2020-08-18,202.07604048973576,203.83255750038833,200.8090534968772,202.99749755859375,21336200
2020-08-19,203.48821317217968,204.07513421341247,201.33295900668412,201.76593017578125,27627600
2020-08-20,201.61198538667864,206.86541112438104,201.00583160724744,206.4613037109375,26981500
2020-08-21,205.7685726054539,208.06814597837223,204.79679140552005,204.96035766601562,36249300
2020-08-24,206.66335284725108,207.36574366044377,204.39264353069976,205.60498046875,25460100
2020-08-25,205.03732499211057,208.41451815872668,205.03732499211057,208.27981567382812,23043700
2020-08-26,209.63647695149868,213.6871826466504,209.13614713125165,212.78274536132812,39600800
2020-08-27,214.45691838795236,222.40439459903496,211.09895784566456,218.00730895996094,57602200
2020-08-28,219.54676985088386,221.91370185709368,218.0073148897742,220.24916076660156,26292900
